,,,
,,,
Date,Chess Played?,Digit Span (Before),Digit Span (After)
20/03/2025,Yes,8,9
21/03/2025,Yes,9,10
22/03/2025,Yes,10,10
23/03/2025,Yes,12,12
24/03/2025,Yes,10,11
25/03/2025,No,9,9
26/03/2025,Yes,15,13
27/03/2025,Yes,11,15
28/03/2025,Yes,10,14
29/03/2025,Yes,12,13
30/03/2025,Yes,9,11
31/03/2025,No,12,12
01/04/2025,No,11,11
02/04/2025,Yes,10,11
03/04/2025,Yes,14,12
04/04/2025,Yes,13,11
05/04/2025,Yes,10,11
06/04/2025,Yes,14,12
07/04/2025,Yes,14,16
08/04/2025,Yes,14,14
09/04/2025,Yes,12,15
10/04/2025,Yes,13,14
11/04/2025,No,15,15
12/04/2025,No,15,15
13/04/2025,Yes,14,17
14/04/2025,Yes,13,15
15/04/2025,No,15,15
16/04/2025,Yes,13,15
17/04/2025,Yes,15,16
18/04/2025,Yes,16,17